gene_id	CC7_tx	CC7_prot	H2_tx	H2_prot	RS_tx	RS_prot	SSB01_tx	SSB01_prot
AIPGENE385	-0.02617		0.29989		0.44199		-0.01302	
AIPGENE386					0.06301			
AIPGENE387	0.20571		0.00986		-0.07356		0.22771	
AIPGENE388	-0.29286		-0.32199		-0.43975		-0.46178	
AIPGENE390	-0.0824		0.24508		0.39075		-0.30562	
AIPGENE391	0.26397	0.06429	0.36772	0.05706	0.23763	0.09075	0.28349	0.02866
AIPGENE392	0.05211		-0.26561		-0.22051		-0.31754	
AIPGENE393	0.07963	0.08468	0.02973	0.07818	0.10862	0.05055	0.01657	0.14069
AIPGENE394	-0.03068		-0.36593		-0.1095		0.21987	
AIPGENE395	-0.05038	0.04731	0.19695	0.00227	-0.02562	0.03606	0.06774	0.05824
AIPGENE396	0.35489		0.22869		0.73695		-0.8057	
AIPGENE397	0.78716		-0.27433		0.4689		0.27194	
AIPGENE398	-0.25573		-0.4706		-0.03914		0.02963	
AIPGENE399	-0.41831		-0.02813		-0.23388		0.01961	
AIPGENE400	0.10742		0.03369		0.07911		-0.14561	
AIPGENE401	-0.0703		0.29917		-0.5054		-0.61191	
AIPGENE402	-0.65941		-0.70599		0.31221		-0.24348	
AIPGENE403	-0.04979		0.02316		0.09286		-0.19316	
AIPGENE404	-0.11687		0.01558		0.02537		-0.12726	
AIPGENE406	0.10046		0.08289		0.09931		0.2185	
AIPGENE408	-0.16785	0.045	-0.02994	0.04453	-0.04131	-0.00556	0.35261	0.09467
AIPGENE409	-0.20149		0.05829		0.14645		-0.15176	
AIPGENE411	0.27603		0.32129		0.4398		0.16432	
AIPGENE412	0.09529		0.21532		0.11204		0.16344	
AIPGENE413	-0.06553		0.22115		0.10547		0.1881	
AIPGENE414	-0.16429		-0.19496		-0.27934		0.25827	
AIPGENE415	-0.05167		-0.08476		-0.18419		-0.20969	
AIPGENE416	-0.06596	0.06632	0.17253	0.12637	0.00902	0.00123	0.02086	0.07482
AIPGENE417	-0.05418		0.01192		0.03755		-0.16356	
AIPGENE418			-0.92398		-0.07053			
AIPGENE419	0.0233		0.02631		-0.0323		-0.67325	
AIPGENE420			-1.30609		-0.43352		-1.07848	
AIPGENE421	0.55955		0.4137		0.48131		0.95437	
AIPGENE422	-0.32781						-0.77954	
AIPGENE423	-0.11763		0.04545		0.28432		-0.09021	
AIPGENE424	0.00598		-0.04015		0.33831		-0.29201	
AIPGENE425	-0.47845	-0.19058	0.10058	0.07223	-0.19563	-0.03016	-0.21464	0.16909
AIPGENE427	0.02443		0.05234		0.19599		-0.12808	
AIPGENE428	-0.15797		4e-05		-0.0798		-0.20796	
AIPGENE429	0.04872		-0.06112		-0.02703		0.06951	
AIPGENE430	0.41795		0.15104		-0.13982		0.31142	
AIPGENE431	0.43856		0.25425		0.2481		0.25186	
AIPGENE432	-0.07013		-0.02182		0.05753		0.05282	
AIPGENE433	0.00956		-0.27701		-0.20262		-0.16749	
AIPGENE435	0.36832	0.08338	0.10597	-0.13437	0.01895	0.02119	0.13315	0.07664
AIPGENE436	-0.58094		0.03273		-0.36899		0.13793	
AIPGENE437	0.78753		-0.37009		0.08324		0.21031	
AIPGENE438	-0.25192		-0.42499		-0.31481		0.03717	
AIPGENE439	-0.09631		-0.13099		-0.30249		-0.18138	
AIPGENE440	0.28122		0.0838		0.03061		0.07752	
AIPGENE441	0.12014	0.00388	0.0876	0.00621	-0.15869	-0.00878	0.08687	-0.11991
AIPGENE442	0.10314		0.2209		0.05562		-0.07993	
AIPGENE443	0.06129		0.14843		-0.40346		0.17111	
AIPGENE444	-0.08133		-0.18484		-0.0642		-0.16463	
AIPGENE445	0.2589	-0.02508	0.24448	-0.00586	0.13805	0.02306	0.25814	0.10208
AIPGENE446	0.14479	0.24009	0.31036	-0.12841	0.14918		0.2447	-0.00752
AIPGENE447	-0.41587		-0.26851		-0.13936		0.0649	
AIPGENE448	0.41126		0.01638		0.15265		0.41049	
AIPGENE449	-0.26085		-0.26483		-0.0911		-0.1658	
AIPGENE450	0.2493		0.28641		0.25659		0.37427	
AIPGENE451	-0.11459		-0.04373		0.20902		-0.04215	
AIPGENE452	-0.04875		-0.32167		-0.15657		-0.15117	
AIPGENE453	-0.12429		-0.47538		0.08733		0.41287	
AIPGENE456	-0.22713		0.33264		0.3121		0.68272	
AIPGENE457	0.28875		0.13721		0.22409		0.08313	
AIPGENE458	0.34764		0.15108		0.11734		0.18414	
AIPGENE459	0.02407		-0.09019		-0.18391		-0.07711	
AIPGENE460	0.12515		-0.07972		-0.01805		-0.00712	
AIPGENE461	0.01972		0.15434		0.37373		0.05149	
AIPGENE462	-0.15561		0.12328		-0.02786		-0.24115	
AIPGENE463	0.19288	-0.06079	0.23315	-0.1733	0.26701	0.0158	0.32854	0.00815
AIPGENE464	0.33916		0.05359		0.13983		0.18624	
AIPGENE465	-0.20851	0.23159	-0.11457	-0.17929	-0.10189		-0.17591	0.16671
AIPGENE466	0.01971		-0.11329		-0.29782		0.00128	
AIPGENE467	-0.00038		0.10467		-0.07252		0.06768	
AIPGENE468	-0.6652		-0.3364		-0.05147		0.13738	
AIPGENE469	-0.11324		0.0895		-0.05056		-0.02703	
